Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
WP_168566867,1.C.132.1,1.C.132.1,0.99928063,1082,1.C.132,1.C.132
WP_241450605,1.C.136.1,1.C.136.1,0.99953663,1084,1.C.136,1.C.136
Q1ELT9,1.C.138.1,1.C.138.1,0.9986327,1087,1.C.138,1.C.138
Q1ELU4,1.C.138.2,1.C.138.2,0.9946576,1088,1.C.138,1.C.138
WP_047703972,1.C.14.1,1.C.14.1,0.9996865,1094,1.C.14,1.C.14
D1J6Q5,1.C.14.1,1.C.14.1,0.9999126,1095,1.C.14,1.C.14
CAC42164,1.C.18.1,1.C.18.1,0.99998343,1098,1.C.18,1.C.18
P82270,1.C.19.1,1.C.19.1,0.49703047,1104,1.C.19,1.C.19
Q6EZF9,1.C.19.1,1.C.19.1,0.99991477,1105,1.C.19,1.C.19
AWG87247,1.C.2.1,1.C.2.3,0.8390311,1117,1.C.2,1.C.2
WP_132821133,1.C.2.1,1.C.2.1,0.46226543,1118,1.C.2,1.C.2
KAB2896819,1.C.2.1,1.C.2.1,0.4618897,1119,1.C.2,1.C.2
Q9ZIU5,1.C.2.2,1.C.2.1,0.41265738,1122,1.C.2,1.C.2
P56955,1.C.2.3,1.C.2.1,0.38178018,1125,1.C.2,1.C.2
P08136,1.C.20.1,1.C.20.1,0.99673504,1130,1.C.20,1.C.20
O68586,1.C.20.1,1.C.20.1,0.9991635,1131,1.C.20,1.C.20
WWQ01948,1.C.20.2,1.C.20.1,0.97241634,1134,1.C.20,1.C.20
P84962,1.C.24.1,1.C.24.1,0.9972254,1147,1.C.24,1.C.24
P83002,1.C.24.1,1.C.24.1,0.9964064,1148,1.C.24,1.C.24
Q6TGQ7,1.C.24.1,1.C.24.1,0.9994622,1149,1.C.24,1.C.24
WP_080375718,1.C.24.1,1.C.24.1,0.99961865,1150,1.C.24,1.C.24
WP_098856434,1.C.26.1,1.C.26.1,0.98510486,1153,1.C.26,1.C.26
Q83TS1,1.C.31.1,1.C.31.1,0.99962795,1156,1.C.31,1.C.31
A7GJP5,1.C.31.2,1.C.31.2,0.9998871,1157,1.C.31,1.C.31
P49913,1.C.33.1,1.C.33.1,0.9998691,1167,1.C.33,1.C.33
P54228,1.C.33.1,1.C.33.1,0.999895,1168,1.C.33,1.C.33
ASN73764,1.C.33.1,1.C.33.1,0.99984384,1169,1.C.33,1.C.33
WP_121688872,1.C.37.1,1.C.37.1,0.9998697,1180,1.C.37,1.C.37
WP_142504358,1.C.37.1,1.C.37.1,0.9997553,1181,1.C.37,1.C.37
CRH85725,1.C.37.1,1.C.37.1,0.9996648,1182,1.C.37,1.C.37
XP_010767831,1.C.38.1,1.C.38.1,0.99966633,1196,1.C.38,1.C.38
Q5UCA8,1.C.38.1,1.C.38.1,0.9990671,1197,1.C.38,1.C.38
P07845,1.C.38.1,1.C.38.1,0.99908495,1198,1.C.38,1.C.38
P0DQV7,1.C.38.1,1.C.38.1,0.99975866,1199,1.C.38,1.C.38
C0RWX4,1.C.40.1,1.C.40.1,0.99984217,1206,1.C.40,1.C.40
P11597,1.C.40.1,1.C.40.1,0.9999466,1207,1.C.40,1.C.40
B5ABT1,1.C.40.2,1.C.40.2,0.99999833,1208,1.C.40,1.C.40
B2LWZ1,1.C.42.1,1.C.42.1,0.7721508,1213,1.C.42,1.C.42
O06498,1.C.42.1,1.C.42.1,0.99995065,1214,1.C.42,1.C.42
P08943,1.C.44.1,1.C.44.1,0.97484595,1216,1.C.44,1.C.44
Q9PW56,1.C.46.1,1.C.46.1,0.5590147,1218,1.C.46,1.C.46
P01160,1.C.46.2,1.C.46.1,0.56143427,1221,1.C.46,1.C.46
B7PQR1,1.C.47.1,1.C.47.1,0.417387,1230,1.C.47,1.C.47
I1T3C7,1.C.47.1,1.C.47.1,0.46681252,1231,1.C.47,1.C.47
C3Z4F2,1.C.47.1,1.C.47.3,0.40025133,1232,1.C.47,1.C.47
Q53I06,1.C.47.2,1.C.47.2,0.7746396,1233,1.C.47,1.C.47
F6LCB3,1.C.47.3,1.C.47.2,0.99875176,1237,1.C.47,1.C.47
Q07A30,1.C.47.4,1.C.47.3,0.4237132,1238,1.C.47,1.C.47
Q9UKY0,1.C.48.1,1.C.48.1,0.9998216,1242,1.C.48,1.C.48
P06881,1.C.49.1,1.C.49.1,0.9805242,1244,1.C.49,1.C.49
NFF70739,1.C.5.1,1.C.5.2,0.31048867,1247,1.C.5,1.C.5
R7ZEE7,1.C.5.2,1.C.5.1,0.41415033,1250,1.C.5,1.C.5
Q45728,1.C.5.3,1.C.5.2,0.3625206,1251,1.C.5,1.C.5
T2MFP9,1.C.50.1,1.C.50.1,0.99999034,1255,1.C.50,1.C.50
Q07932,1.C.51.1,1.C.51.1,0.9999963,1256,1.C.51,1.C.51
P69178,1.C.54.1,1.C.54.1,1.0,1257,1.C.54,1.C.54
P0A3W8,1.C.55.1,1.C.55.1,0.9999988,1258,1.C.55,1.C.55
F2JTE2,1.C.56.1,1.C.56.1,0.99981254,1262,1.C.56,1.C.56
WP_089964624,1.C.61.1,1.C.61.1,0.9999728,1266,1.C.61,1.C.61
L0CMD2,1.C.62.1,1.C.62.1,0.9999651,1270,1.C.62,1.C.62
XP_015918646,1.C.63.1,1.C.63.1,0.9999833,1273,1.C.63,1.C.63
Q6BF25,1.C.64.1,1.C.64.1,0.99993205,1285,1.C.64,1.C.64
MBA8650993,1.C.64.1,1.C.64.1,0.999577,1286,1.C.64,1.C.64
WP_141754689,1.C.64.1,1.C.64.1,0.99956614,1287,1.C.64,1.C.64
Q5Y4S2,1.C.65.1,1.C.65.1,0.99987686,1291,1.C.65,1.C.65
Q9L6W3,1.C.65.2,1.C.65.2,0.9998037,1292,1.C.65,1.C.65
P33432,1.C.66.1,1.C.66.1,0.9999995,1293,1.C.66,1.C.66
C4M9N5,1.C.67.1,1.C.67.1,0.99998915,1295,1.C.67,1.C.67
P83250,1.C.68.1,1.C.68.1,0.9999958,1297,1.C.68,1.C.68
WP_030364034,1.C.7.1,1.C.7.1,0.9997774,1299,1.C.7,1.C.7
KID84774,1.C.7.2,1.C.7.1,0.99969625,1301,1.C.7,1.C.7
WP_062552397,1.C.70.1,1.C.70.1,0.99970585,1306,1.C.70,1.C.70
A5N971,1.C.71.1,1.C.71.1,0.9986486,1310,1.C.71,1.C.71
S8E3M3,1.C.71.2,1.C.71.2,0.99979085,1314,1.C.71,1.C.71
P01382,1.C.74.1,1.C.74.1,0.58334076,1321,1.C.74,1.C.74
Q8QGR0,1.C.74.1,1.C.74.1,0.774466,1322,1.C.74,1.C.74
B1Z6U1,1.C.75.1,1.C.75.1,0.9994766,1329,1.C.75,1.C.75
AKC96038,1.C.75.1,1.C.75.1,0.99996686,1330,1.C.75,1.C.75
O76070,1.C.77.1,1.C.77.1,0.9999579,1333,1.C.77,1.C.77
A7IZR5,1.C.78.1,1.C.78.1,0.5500445,1337,1.C.78,1.C.78
P46081,1.C.8.1,1.C.8.1,0.99998987,1341,1.C.8,1.C.8
B7LAC5,1.C.80.1,1.C.80.1,0.99991834,1345,1.C.80,1.C.80
NP_001011705,1.C.81.1,1.C.81.1,0.81812495,1353,1.C.81,1.C.81
Q9NS71,1.C.81.1,1.C.81.1,0.71244717,1354,1.C.81,1.C.81
Q9NQX7,1.C.81.2,1.C.81.1,0.5540113,1357,1.C.81,1.C.81
WP_078474522,1.C.82.1,1.C.82.1,0.99994946,1359,1.C.82,1.C.82
Q9ZGP5,1.C.83.1,1.C.83.1,0.9916785,1361,1.C.83,1.C.83
F9P995,1.C.84.1,1.C.84.1,0.9993938,1363,1.C.84,1.C.84
Q13519,1.C.89.1,1.C.89.1,0.9999722,1366,1.C.89,1.C.89
WP_013023010,1.C.9.1,1.C.9.1,0.99997103,1369,1.C.9,1.C.9
A5H1G9,1.C.90.1,1.C.90.3,0.6765953,1372,1.C.90,1.C.90
A0RKJ6,1.C.90.2,1.C.90.3,0.6173273,1374,1.C.90,1.C.90
A5MY21,1.C.90.3,1.C.90.3,0.77461,1378,1.C.90,1.C.90
P04080,1.C.91.1,1.C.91.1,0.9999963,1379,1.C.91,1.C.91
Q15818,1.C.92.1,1.C.92.1,0.9999728,1382,1.C.92,1.C.92
A4UVR2,1.C.93.1,1.C.93.1,0.999997,1383,1.C.93,1.C.93
WP_084614884,1.C.95.1,1.C.95.1,0.9998598,1394,1.C.95,1.C.95
WP_006059095,1.C.95.1,1.C.95.1,0.9996592,1395,1.C.95,1.C.95
WP_018802519,1.C.95.1,1.C.95.1,0.99964166,1396,1.C.95,1.C.95
NP_849177,1.C.99.1,1.C.99.1,0.8432909,1401,1.C.99,1.C.99
QCX35176,1.C.99.2,1.C.99.2,0.9758251,1404,1.C.99,1.C.99
XP_004616922,1.D.118.1,1.D.118.1,0.9988152,1407,1.D.118,1.D.118
XP_045930465,1.D.194.1,1.D.194.1,0.9999639,1411,1.D.194,1.D.194
PKK88897,1.D.24.1,1.D.24.1,0.9984426,1417,1.D.24,1.D.24
NIM52277,1.D.24.1,1.D.24.1,0.99992144,1418,1.D.24,1.D.24
KUH88733,1.D.24.2,1.D.24.2,0.99997663,1419,1.D.24,1.D.24
TKY80222,1.E.1.1,1.E.1.1,0.99986327,1427,1.E.1,1.E.1
ECY3018204,1.E.1.1,1.E.1.1,0.9998211,1428,1.E.1,1.E.1
Q37895,1.E.10.1,1.E.10.1,0.74999607,1432,1.E.10,1.E.10
B1YMD9,1.E.14.1,1.E.14.1,0.9991955,1446,1.E.14,1.E.14
I6T8M5,1.E.14.1,1.E.14.1,0.99866676,1447,1.E.14,1.E.14
P39591,1.E.14.1,1.E.14.1,0.9989166,1448,1.E.14,1.E.14
P94515,1.E.14.1,1.E.14.1,0.9978529,1449,1.E.14,1.E.14
D3S646,1.E.14.2,1.E.14.2,0.99760985,1452,1.E.14,1.E.14
F9LWA6,1.E.16.1,1.E.16.1,0.9669281,1456,1.E.16,1.E.16
Q44946,1.E.17.1,1.E.17.1,0.9926024,1461,1.E.17,1.E.17
B8F2U3,1.E.17.1,1.E.17.1,0.9921848,1462,1.E.17,1.E.17
WP_080684304,1.E.17.2,1.E.17.1,0.9915589,1464,1.E.17,1.E.17
M9MU75,1.E.18.1,1.E.18.1,0.99989295,1474,1.E.18,1.E.18
ERG63474,1.E.18.1,1.E.18.1,0.99953485,1475,1.E.18,1.E.18
WP_298535700,1.E.18.1,1.E.18.1,0.99972934,1476,1.E.18,1.E.18
PIN93264,1.E.20.1,1.E.20.1,0.9999821,1481,1.E.20,1.E.20
EJG08371,1.E.20.1,1.E.20.1,0.99999,1482,1.E.20,1.E.20
K9A5I7,1.E.21.1,1.E.21.2,0.66984993,1486,1.E.21,1.E.21
B1S807,1.E.21.2,1.E.21.1,0.5642726,1488,1.E.21,1.E.21
U1YCE7,1.E.23.1,1.E.23.1,0.75235426,1493,1.E.23,1.E.23
WP_068445074,1.E.23.2,1.E.23.2,0.9028989,1495,1.E.23,1.E.23
A7A6X9,1.E.24.1,1.E.24.1,0.5609174,1500,1.E.24,1.E.24
E7MNX8,1.E.24.2,1.E.24.1,0.6896204,1501,1.E.24,1.E.24
G1WGA3,1.E.24.3,1.E.24.3,0.9999728,1502,1.E.24,1.E.24
C1D824,1.E.25.1,1.E.25.2,0.8018794,1507,1.E.25,1.E.25
WP_083008638,1.E.25.1,1.E.25.2,0.62095547,1508,1.E.25,1.E.25
RYC38893,1.E.25.2,1.E.25.2,0.7073877,1514,1.E.25,1.E.25
ALA46464,1.E.25.2,1.E.25.2,0.7380013,1515,1.E.25,1.E.25
C3GBU6,1.E.27.1,1.E.27.1,0.9999558,1522,1.E.27,1.E.27
CRG98304,1.E.27.1,1.E.27.1,0.9998939,1523,1.E.27,1.E.27
RYS64810,1.E.29.1,1.E.29.1,0.60478956,1528,1.E.29,1.E.29
F9DMS4,1.E.29.2,1.E.29.1,0.78722006,1534,1.E.29,1.E.29
QOQ37200,1.E.29.2,1.E.29.2,0.8861741,1535,1.E.29,1.E.29
WP_116059751,1.E.29.3,1.E.29.3,0.99990416,1538,1.E.29,1.E.29
D5CT34,1.E.33.1,1.E.33.1,0.9957249,1544,1.E.33,1.E.33
G4FVE2,1.E.33.1,1.E.33.1,0.99994826,1545,1.E.33,1.E.33
R4JJW4,1.E.4.1,1.E.4.1,0.9999938,1549,1.E.4,1.E.4
ESK64892,1.E.42.1,1.E.42.1,0.99984574,1555,1.E.42,1.E.42
QDX55601,1.E.42.1,1.E.42.1,0.99993896,1556,1.E.42,1.E.42
WP_081276159,1.E.44.1,1.E.44.1,0.99999285,1559,1.E.44,1.E.44
W7Wfe7,1.E.50.1,1.E.50.1,0.99995255,1562,1.E.50,1.E.50
D4L5L5,1.E.52.1,1.E.52.1,0.99997413,1564,1.E.52,1.E.52
C4FBP7,1.E.52.2,1.E.52.2,0.9999987,1565,1.E.52,1.E.52
B8JFG0,1.E.52.3,1.E.52.1,0.91346365,1568,1.E.52,1.E.52
K4WL31,1.E.53.1,1.E.53.1,0.96089745,1577,1.E.53,1.E.53
E7J6N6,1.E.53.1,1.E.53.1,0.9996718,1578,1.E.53,1.E.53
P13970,1.E.53.1,1.E.53.1,0.9996809,1579,1.E.53,1.E.53
E9U5S4,1.E.53.2,1.E.53.2,0.9992987,1580,1.E.53,1.E.53
M4K1R4,1.E.56.1,1.E.56.1,0.9997751,1590,1.E.56,1.E.56
B0VUM9,1.E.56.1,1.E.56.1,0.9994204,1591,1.E.56,1.E.56
K4PA82,1.E.56.1,1.E.56.1,0.9987388,1592,1.E.56,1.E.56
Q859D9,1.E.6.1,1.E.6.1,0.75965667,1595,1.E.6,1.E.6
KOQ79687,1.E.6.2,1.E.6.3,0.5626635,1603,1.E.6,1.E.6
YP_009798665,1.E.6.2,1.E.6.1,0.79290533,1604,1.E.6,1.E.6
C1D8E7,1.E.6.3,1.E.6.3,0.51139754,1609,1.E.6,1.E.6
WLJ89320,1.E.6.3,1.E.6.2,0.38480666,1610,1.E.6,1.E.6
WP_080520514,1.E.61.1,1.E.61.1,0.999987,1612,1.E.61,1.E.61
WP_006300053,1.E.62.1,1.E.62.1,0.9994135,1619,1.E.62,1.E.62
WP_072024012,1.E.62.1,1.E.62.1,0.9995883,1620,1.E.62,1.E.62
WP_033100758,1.E.65.1,1.E.65.1,0.9999019,1626,1.E.65,1.E.65
WP_221178964,1.E.65.1,1.E.65.1,0.9999591,1627,1.E.65,1.E.65
WP_077419983,1.E.7.1,1.E.7.1,0.5399551,1631,1.E.7,1.E.7
WP_097540830,1.E.7.2,1.E.7.1,0.6601455,1637,1.E.7,1.E.7
WP_055414402,1.E.7.2,1.E.7.1,0.8630591,1638,1.E.7,1.E.7
MDI6753459,1.E.71.1,1.E.71.1,0.9997453,1643,1.E.71,1.E.71
K7NTM2,1.E.8.1,1.E.8.1,0.9999583,1648,1.E.8,1.E.8
AZU98589,1.E.8.1,1.E.8.1,0.99995697,1649,1.E.8,1.E.8
C1A5F4,1.E.9.1,1.E.9.1,0.9998983,1659,1.E.9,1.E.9
Q8KCM5,1.E.9.1,1.E.9.1,0.9998517,1660,1.E.9,1.E.9
B3QMN8,1.E.9.1,1.E.9.1,0.9998456,1661,1.E.9,1.E.9
AMQ26458,1.G.1.1,1.G.1.1,0.99986887,1667,1.G.1,1.G.1
AFV53227,1.G.1.1,1.G.1.1,0.99986887,1668,1.G.1,1.G.1
P03397,1.G.12.1,1.G.12.1,0.9999784,1669,1.G.12,1.G.12
Q1PDC7,1.G.12.2,1.G.12.2,0.9999018,1673,1.G.12,1.G.12
AVM87398,1.G.14.1,1.G.14.1,0.9999422,1676,1.G.14,1.G.14
P28977,1.G.15.1,1.G.15.1,0.9998542,1680,1.G.15,1.G.15
P04578,1.G.16.1,1.G.16.1,0.99994874,1683,1.G.16,1.G.16
YP_009724390,1.G.18.1,1.G.18.1,0.9999448,1689,1.G.18,1.G.18
YP_007188579,1.G.18.1,1.G.18.1,0.9999534,1690,1.G.18,1.G.18
O92765,1.G.2.1,1.G.2.1,0.99935085,1698,1.G.2,1.G.2
Q9IH63,1.G.2.1,1.G.2.1,0.9997713,1699,1.G.2,1.G.2
WP_150375648,1.G.2.2,1.G.2.2,0.99996257,1700,1.G.2,1.G.2
P09612,1.G.20.1,1.G.20.1,0.97411793,1704,1.G.20,1.G.20
B8PWH4,1.G.20.2,1.G.20.1,0.6414229,1707,1.G.20,1.G.20
O36400,1.G.21.1,1.G.21.1,0.99994147,1710,1.G.21,1.G.21
AFJ15605,1.G.4.1,1.G.4.1,0.99990606,1715,1.G.4,1.G.4
G0LWX4,1.G.4.1,1.G.4.1,0.90320337,1716,1.G.4,1.G.4
U5YDR4,1.G.5.1,1.G.5.1,0.99999344,1720,1.G.5,1.G.5
A7XED7,1.G.6.1,1.G.6.1,0.999992,1721,1.G.6,1.G.6
YP_002929490,1.G.8.1,1.G.8.1,0.99997044,1726,1.G.8,1.G.8
NP_775596,1.G.9.1,1.G.9.2,0.7442065,1729,1.G.9,1.G.9
Q7ZFT7,1.G.9.2,1.G.9.2,0.96550304,1734,1.G.9,1.G.9
M4HM10,1.G.9.2,1.G.9.2,0.9615558,1735,1.G.9,1.G.9
YP_010771824,1.J.1.1,1.J.1.1,0.9998801,1740,1.J.1,1.J.1
Q2LM93,1.K.3.1,1.K.3.1,0.99996316,1743,1.K.3,1.K.3
U3IYW3,1.L.1.1,1.L.1.1,0.9999802,1746,1.L.1,1.L.1
WP_250671306,1.M.7.1,1.M.7.1,0.9997949,1751,1.M.7,1.M.7
WP_200664041,1.M.7.1,1.M.7.1,0.99976856,1752,1.M.7,1.M.7
A4GRC6,1.N.3.1,1.N.3.1,0.9994617,1758,1.N.3,1.N.3
Q4YCF6,1.N.3.1,1.N.3.1,0.9994301,1759,1.N.3,1.N.3
E5S3P2,1.N.4.1,1.N.4.1,0.99980825,1764,1.N.4,1.N.4
Q99287,1.N.5.1,1.N.5.1,0.9980458,1770,1.N.5,1.N.5
Q6DD88,1.N.5.1,1.N.5.1,0.99989367,1771,1.N.5,1.N.5
O00291,1.N.7.1,1.N.7.1,1.0,1772,1.N.7,1.N.7
A1Z713,1.R.2.1,1.R.2.1,0.99983525,1777,1.R.2,1.R.2
Q96RL7,1.R.2.1,1.R.2.1,0.9998598,1778,1.R.2,1.R.2
WP_094276346,1.S.1.1,1.S.1.1,0.9997789,1788,1.S.1,1.S.1
6NER_A,1.S.1.1,1.S.1.1,0.991808,1789,1.S.1,1.S.1
MBT6724251,1.S.1.1,1.S.1.1,0.9999931,1790,1.S.1,1.S.1
Q8U2E0,1.S.11.1,1.S.11.1,0.9998872,1793,1.S.11,1.S.11
3IO0_A,1.S.2.1,1.S.2.1,0.99987245,1796,1.S.2,1.S.2
WP_063040943,1.S.2.2,1.S.2.2,0.99999523,1797,1.S.2,1.S.2
AAD39019,1.S.2.3,1.S.2.3,0.99999976,1798,1.S.2,1.S.2
GCA95139,1.S.3.1,1.S.3.1,0.999987,1801,1.S.3,1.S.3
4OLP_A,1.S.4.1,1.S.4.1,0.9999994,1802,1.S.4,1.S.4
P41792,1.S.5.1,1.S.5.1,0.9996829,1804,1.S.5,1.S.5
D0LZ73,1.S.7.1,1.S.7.1,0.99996936,1808,1.S.7,1.S.7
V5SGX5,1.S.8.1,1.S.8.1,0.9999248,1811,1.S.8,1.S.8
WP_039622912,1.W.1.1,1.W.1.1,0.9995894,1819,1.W.1,1.W.1
WP_073187488,1.W.1.1,1.W.1.1,0.9997285,1820,1.W.1,1.W.1
WP_115732651,1.W.10.1,1.W.10.1,0.7405369,1825,1.W.10,1.W.10
PNX53637,1.W.10.2,1.W.10.3,0.9689687,1827,1.W.10,1.W.10
AXP07702,1.W.10.3,1.W.10.3,0.9999939,1831,1.W.10,1.W.10
KQC09679,1.W.3.1,1.W.3.2,0.8986106,1839,1.W.3,1.W.3
WP_037616440,1.W.3.1,1.W.3.1,0.9824385,1840,1.W.3,1.W.3
RLG54911,1.W.3.2,1.W.3.2,0.8123752,1845,1.W.3,1.W.3
WP_155320278,1.W.3.2,1.W.3.1,0.9842839,1846,1.W.3,1.W.3
WP_140461085,1.W.4.1,1.W.4.1,0.99976486,1851,1.W.4,1.W.4
Q76RH0,1.W.4.1,1.W.4.1,0.9998165,1852,1.W.4,1.W.4
MAG24778,1.W.5.1,1.W.5.1,0.9997422,1860,1.W.5,1.W.5
WP_077072253,1.W.5.1,1.A.46.1,0.049155198,1861,1.W.5,1.A.46
RLG01344,1.W.8.1,1.W.8.1,0.9999602,1869,1.W.8,1.W.8
TXH14527,1.W.8.1,1.W.8.1,0.9999167,1870,1.W.8,1.W.8
A7XXR3,1.W.9.1,1.W.9.1,0.8350692,1883,1.W.9,1.W.9
WP_053235977,1.W.9.1,1.W.9.1,0.7964603,1884,1.W.9,1.W.9
WP_025803616,1.W.9.1,1.W.9.1,0.8176501,1885,1.W.9,1.W.9
RXG66789,1.W.9.1,1.W.9.1,0.58944976,1886,1.W.9,1.W.9
HBY62778,1.W.9.2,1.W.9.2,0.93641347,1888,1.W.9,1.W.9
AXH46464,1.W.9.3,1.W.9.1,0.59273326,1889,1.W.9,1.W.9
HAM56808,1.W.9.4,1.W.9.4,0.99998164,1890,1.W.9,1.W.9
F5X5Y2,2.A.10.1,2.A.10.1,0.99897814,1895,2.A.10,2.A.10
S4H275,2.A.10.1,2.A.10.1,0.99998915,1896,2.A.10,2.A.10
RQM11249,2.A.100.1,2.A.100.1,0.99204564,1902,2.A.100,2.A.100
Q9I9R3,2.A.100.1,2.A.100.1,0.68208563,1903,2.A.100,2.A.100
XP_012758493,2.A.100.2,2.A.100.1,0.9947002,1905,2.A.100,2.A.100
C6B3K0,2.A.101.1,2.A.101.1,0.9999635,1907,2.A.101,2.A.101
WP_076734059,2.A.103.1,1.A.46.1,0.05498254,1917,2.A.103,1.A.46
WP_082139284,2.A.103.1,2.A.103.1,0.9998722,1918,2.A.103,2.A.103
WP_071389592,2.A.103.1,2.A.103.1,0.999943,1919,2.A.103,2.A.103
G4R961,2.A.104.1,2.A.104.1,0.99898237,1921,2.A.104,2.A.104
H5SVY7,2.A.104.2,2.A.104.2,0.99709773,1922,2.A.104,2.A.104
KKP64473,2.A.104.3,2.A.104.1,0.7490927,1924,2.A.104,2.A.104
WP_089030044,2.A.107.1,2.A.107.1,0.85371387,1929,2.A.107,2.A.107
E4RIT5,2.A.107.2,2.A.107.2,0.99989414,1930,2.A.107,2.A.107
L8Q2C2,2.A.107.3,2.A.107.3,0.91076547,1931,2.A.107,2.A.107
I1HMH4,2.A.109.1,2.A.109.1,0.74121225,1937,2.A.109,2.A.109
P42601,2.A.109.1,2.A.109.1,0.5842595,1938,2.A.109,2.A.109
L5DDD7,2.A.109.2,2.A.109.1,0.7433995,1941,2.A.109,2.A.109
L7KNF9,2.A.109.3,2.A.109.3,0.9998349,1943,2.A.109,2.A.109
O05407,2.A.11.1,2.A.11.1,0.80070597,1948,2.A.11,2.A.11
A4QA05,2.A.11.1,2.A.11.2,0.6522629,1949,2.A.11,2.A.11
D7AXM6,2.A.11.2,2.A.11.1,0.7994554,1952,2.A.11,2.A.11
Q4QSA9,2.A.111.1,2.A.111.1,0.9999871,1955,2.A.111,2.A.111
Q821X2,2.A.111.2,2.A.111.1,0.9999784,1957,2.A.111,2.A.111
K2REU1,2.A.116.1,2.A.116.1,0.58716345,1963,2.A.116,2.A.116
K6W6C5,2.A.116.1,2.A.116.1,0.8592732,1964,2.A.116,2.A.116
Q7TUV9,2.A.116.2,2.A.116.1,0.7602548,1966,2.A.116,2.A.116
B8I848,2.A.116.3,2.A.116.3,0.8324817,1970,2.A.116,2.A.116
A3QJL3,2.A.117.1,2.A.117.1,0.6176586,1981,2.A.117,2.A.117
A0B354,2.A.117.1,2.A.117.2,0.50972974,1982,2.A.117,2.A.117
Q87QJ4,2.A.117.1,2.A.117.2,0.5257618,1983,2.A.117,2.A.117
MBK8180943,2.A.117.2,2.A.117.2,0.533413,1986,2.A.117,2.A.117
WP_203595623,2.A.117.3,2.A.117.3,0.99996793,1987,2.A.117,2.A.117
Q38YQ0,2.A.118.1,2.A.118.1,0.99978846,1994,2.A.118,2.A.118
P39263,2.A.118.1,2.A.118.1,0.99972063,1995,2.A.118,2.A.118
WP_069955515,2.A.119.1,2.A.119.1,0.9990477,2000,2.A.119,2.A.119
Q8EJL9,2.A.119.1,2.A.119.3,0.41801414,2001,2.A.119,2.A.119
WP_048118532,2.A.119.2,2.A.119.3,0.54859966,2006,2.A.119,2.A.119
WP_092498738,2.A.119.3,2.A.119.2,0.48880994,2013,2.A.119,2.A.119
OIO63212,2.A.119.3,2.A.119.2,0.48295546,2014,2.A.119,2.A.119
J6H8T7,2.A.120.1,2.A.120.1,0.9998234,2026,2.A.120,2.A.120
A8MA30,2.A.120.1,2.A.120.1,0.9997712,2027,2.A.120,2.A.120
ARG45194,2.A.120.1,2.A.120.1,0.99961215,2028,2.A.120,2.A.120
P42102,2.A.122.1,2.A.122.1,0.99258786,2035,2.A.122,2.A.122
WP_159220376,2.A.122.1,2.A.122.1,0.9923529,2036,2.A.122,2.A.122
B8CB30,2.A.122.2,2.A.122.2,0.9954705,2041,2.A.122,2.A.122
B5YN56,2.A.122.2,1.B.16.1,0.051043004,2042,2.A.122,1.B.16
KKP01475,2.A.122.3,2.A.122.3,0.99973696,2043,2.A.122,2.A.122
C3MTK1,2.A.124.1,2.A.124.1,0.99928445,2050,2.A.124,2.A.124
X2JQJ2,2.A.124.1,2.A.124.1,0.99931693,2051,2.A.124,2.A.124
D2VY17,2.A.125.1,2.A.125.1,0.9999063,2056,2.A.125,2.A.125
OQJ72346,2.A.129.1,2.A.129.1,0.8332636,2065,2.A.129,2.A.129
WP_074970406,2.A.129.1,2.A.129.1,0.8720864,2066,2.A.129,2.A.129
WP_027108241,2.A.129.1,2.A.129.2,0.8695183,2067,2.A.129,2.A.129
WP_086951747,2.A.129.2,2.A.129.1,0.73051095,2071,2.A.129,2.A.129
Q0PC49,2.A.13.1,2.A.13.1,0.9996487,2076,2.A.13,2.A.13
Q0PAK3,2.A.13.1,1.A.46.1,0.05411567,2077,2.A.13,1.A.46
K0P0B6,2.A.13.2,2.A.13.2,0.99998534,2078,2.A.13,2.A.13
RKY32654,2.A.131.1,2.A.131.1,0.9998072,2084,2.A.131,2.A.131
RZN41577,2.A.131.1,2.A.131.1,0.99977344,2085,2.A.131,2.A.131
P42401,2.A.133.1,2.A.133.2,0.5583422,2096,2.A.133,2.A.133
B4AEM5,2.A.133.1,2.A.133.1,0.502865,2097,2.A.133,2.A.133
K2JND9,2.A.133.1,2.A.133.2,0.9928846,2098,2.A.133,2.A.133
WP_022597737,2.A.133.2,2.A.133.2,0.51595116,2102,2.A.133,2.A.133
Q8TUV1,2.A.14.1,2.A.14.1,0.9998779,2106,2.A.14,2.A.14
AOY58527,2.A.14.2,2.A.14.1,0.9982047,2108,2.A.14,2.A.14
Q6IUV3,2.A.15.1,2.A.15.1,0.9995962,2120,2.A.15,2.A.15
AIU86122,2.A.15.1,2.A.15.1,0.9996344,2121,2.A.15,2.A.15
AJH13638,2.A.15.1,2.A.15.1,0.99974984,2122,2.A.15,2.A.15
B7L6S9,2.A.15.2,2.A.15.1,0.99963725,2125,2.A.15,2.A.15
P44741,2.A.16.1,2.A.16.4,0.6412303,2127,2.A.16,2.A.16
I7ZSL4,2.A.16.2,2.A.16.2,0.99998796,2130,2.A.16,2.A.16
T2I8Z9,2.A.16.3,2.A.16.4,0.62200826,2133,2.A.16,2.A.16
Q4J820,2.A.16.4,1.A.46.1,0.05813988,2138,2.A.16,1.A.46
Q9KY69,2.A.16.4,1.A.46.1,0.057143226,2139,2.A.16,1.A.46
