Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
WP_168566867,1.C.132.1,1.C.132.1,0.9991937,1082,1.C.132,1.C.132
WP_241450605,1.C.136.1,1.C.136.1,0.9995395,1084,1.C.136,1.C.136
Q1ELT9,1.C.138.1,1.C.138.1,0.99841166,1087,1.C.138,1.C.138
Q1ELU4,1.C.138.2,1.C.138.2,0.96907276,1088,1.C.138,1.C.138
WP_047703972,1.C.14.1,1.C.14.1,0.99960583,1094,1.C.14,1.C.14
D1J6Q5,1.C.14.1,1.C.14.1,0.99992573,1095,1.C.14,1.C.14
CAC42164,1.C.18.1,1.C.18.1,0.9999827,1098,1.C.18,1.C.18
P82270,1.C.19.1,1.C.19.1,0.85365283,1104,1.C.19,1.C.19
Q6EZF9,1.C.19.1,1.C.19.1,0.99995196,1105,1.C.19,1.C.19
AWG87247,1.C.2.1,1.C.2.3,0.8917111,1117,1.C.2,1.C.2
WP_132821133,1.C.2.1,1.C.2.1,0.4050969,1118,1.C.2,1.C.2
KAB2896819,1.C.2.1,1.C.2.1,0.41604298,1119,1.C.2,1.C.2
Q9ZIU5,1.C.2.2,1.C.2.3,0.39690915,1122,1.C.2,1.C.2
P56955,1.C.2.3,1.C.2.3,0.4448865,1125,1.C.2,1.C.2
P08136,1.C.20.1,1.C.20.1,0.99690044,1130,1.C.20,1.C.20
O68586,1.C.20.1,1.C.20.1,0.99954754,1131,1.C.20,1.C.20
WWQ01948,1.C.20.2,1.C.20.1,0.9706778,1134,1.C.20,1.C.20
P84962,1.C.24.1,1.C.24.1,0.99894494,1147,1.C.24,1.C.24
P83002,1.C.24.1,1.C.24.1,0.9934097,1148,1.C.24,1.C.24
Q6TGQ7,1.C.24.1,1.C.24.1,0.99982315,1149,1.C.24,1.C.24
WP_080375718,1.C.24.1,1.C.24.1,0.999642,1150,1.C.24,1.C.24
WP_098856434,1.C.26.1,1.C.26.1,0.9841054,1153,1.C.26,1.C.26
Q83TS1,1.C.31.1,1.C.31.1,0.99950147,1156,1.C.31,1.C.31
A7GJP5,1.C.31.2,1.C.31.2,0.9999833,1157,1.C.31,1.C.31
P49913,1.C.33.1,1.C.33.1,0.9997353,1167,1.C.33,1.C.33
P54228,1.C.33.1,1.C.33.1,0.99980146,1168,1.C.33,1.C.33
ASN73764,1.C.33.1,1.C.33.1,0.99967015,1169,1.C.33,1.C.33
WP_121688872,1.C.37.1,1.C.37.1,0.9998392,1180,1.C.37,1.C.37
WP_142504358,1.C.37.1,1.C.37.1,0.99969363,1181,1.C.37,1.C.37
CRH85725,1.C.37.1,1.C.37.1,0.9995555,1182,1.C.37,1.C.37
XP_010767831,1.C.38.1,1.C.38.1,0.9991122,1196,1.C.38,1.C.38
Q5UCA8,1.C.38.1,1.C.38.1,0.99794346,1197,1.C.38,1.C.38
P07845,1.C.38.1,1.C.38.1,0.9979838,1198,1.C.38,1.C.38
P0DQV7,1.C.38.1,1.C.38.1,0.9994165,1199,1.C.38,1.C.38
C0RWX4,1.C.40.1,1.C.40.1,0.99976796,1206,1.C.40,1.C.40
P11597,1.C.40.1,1.C.40.1,0.99991155,1207,1.C.40,1.C.40
B5ABT1,1.C.40.2,1.C.40.2,0.99999845,1208,1.C.40,1.C.40
B2LWZ1,1.C.42.1,1.C.42.1,0.94563913,1213,1.C.42,1.C.42
O06498,1.C.42.1,1.C.42.1,0.9999895,1214,1.C.42,1.C.42
P08943,1.C.44.1,1.C.44.1,0.96469384,1216,1.C.44,1.C.44
Q9PW56,1.C.46.1,1.C.46.1,0.5195058,1218,1.C.46,1.C.46
P01160,1.C.46.2,1.C.46.1,0.537888,1221,1.C.46,1.C.46
B7PQR1,1.C.47.1,1.C.47.3,0.36256906,1230,1.C.47,1.C.47
I1T3C7,1.C.47.1,1.C.47.3,0.36668658,1231,1.C.47,1.C.47
C3Z4F2,1.C.47.1,1.C.47.3,0.36306816,1232,1.C.47,1.C.47
Q53I06,1.C.47.2,1.C.47.2,0.5650017,1233,1.C.47,1.C.47
F6LCB3,1.C.47.3,1.C.47.2,0.9960771,1237,1.C.47,1.C.47
Q07A30,1.C.47.4,1.C.47.3,0.34511352,1238,1.C.47,1.C.47
Q9UKY0,1.C.48.1,1.C.48.1,0.9997898,1242,1.C.48,1.C.48
P06881,1.C.49.1,1.C.49.1,0.9695108,1244,1.C.49,1.C.49
NFF70739,1.C.5.1,1.C.5.2,0.31131083,1247,1.C.5,1.C.5
R7ZEE7,1.C.5.2,1.C.5.1,0.5292642,1250,1.C.5,1.C.5
Q45728,1.C.5.3,1.C.5.1,0.3949108,1251,1.C.5,1.C.5
T2MFP9,1.C.50.1,1.C.50.1,0.9999645,1255,1.C.50,1.C.50
Q07932,1.C.51.1,1.C.51.1,1.0,1256,1.C.51,1.C.51
P69178,1.C.54.1,1.C.54.1,0.9999999,1257,1.C.54,1.C.54
P0A3W8,1.C.55.1,1.C.55.1,0.99999976,1258,1.C.55,1.C.55
F2JTE2,1.C.56.1,1.C.56.1,0.9992587,1262,1.C.56,1.C.56
WP_089964624,1.C.61.1,1.C.61.1,0.9999571,1266,1.C.61,1.C.61
L0CMD2,1.C.62.1,1.C.62.1,0.9999813,1270,1.C.62,1.C.62
XP_015918646,1.C.63.1,1.C.63.1,0.99997616,1273,1.C.63,1.C.63
Q6BF25,1.C.64.1,1.C.64.1,0.9999721,1285,1.C.64,1.C.64
MBA8650993,1.C.64.1,1.C.64.1,0.99913824,1286,1.C.64,1.C.64
WP_141754689,1.C.64.1,1.C.64.1,0.99910116,1287,1.C.64,1.C.64
Q5Y4S2,1.C.65.1,1.C.65.1,0.9997843,1291,1.C.65,1.C.65
Q9L6W3,1.C.65.2,1.C.65.2,0.99994683,1292,1.C.65,1.C.65
P33432,1.C.66.1,1.C.66.1,0.99999654,1293,1.C.66,1.C.66
C4M9N5,1.C.67.1,1.C.67.1,0.9999876,1295,1.C.67,1.C.67
P83250,1.C.68.1,1.C.68.1,0.99999785,1297,1.C.68,1.C.68
WP_030364034,1.C.7.1,1.C.7.1,0.9988464,1299,1.C.7,1.C.7
KID84774,1.C.7.2,1.C.7.1,0.9973743,1301,1.C.7,1.C.7
WP_062552397,1.C.70.1,1.C.70.1,0.9996172,1306,1.C.70,1.C.70
A5N971,1.C.71.1,1.C.71.1,0.9989504,1310,1.C.71,1.C.71
S8E3M3,1.C.71.2,1.C.71.2,0.9969194,1314,1.C.71,1.C.71
P01382,1.C.74.1,1.C.74.1,0.6932975,1321,1.C.74,1.C.74
Q8QGR0,1.C.74.1,1.C.74.1,0.75349766,1322,1.C.74,1.C.74
B1Z6U1,1.C.75.1,1.C.75.1,0.9940491,1329,1.C.75,1.C.75
AKC96038,1.C.75.1,1.C.75.1,0.99995875,1330,1.C.75,1.C.75
O76070,1.C.77.1,1.C.77.1,0.9999926,1333,1.C.77,1.C.77
A7IZR5,1.C.78.1,1.C.78.1,0.57940274,1337,1.C.78,1.C.78
P46081,1.C.8.1,1.C.8.1,0.9997626,1341,1.C.8,1.C.8
B7LAC5,1.C.80.1,1.C.80.1,0.99978155,1345,1.C.80,1.C.80
NP_001011705,1.C.81.1,1.C.81.1,0.7232209,1353,1.C.81,1.C.81
Q9NS71,1.C.81.1,1.C.81.1,0.5799014,1354,1.C.81,1.C.81
Q9NQX7,1.C.81.2,1.C.81.1,0.51551044,1357,1.C.81,1.C.81
WP_078474522,1.C.82.1,1.C.82.1,0.99993026,1359,1.C.82,1.C.82
Q9ZGP5,1.C.83.1,1.C.83.1,0.9902782,1361,1.C.83,1.C.83
F9P995,1.C.84.1,1.C.84.1,0.9996898,1363,1.C.84,1.C.84
Q13519,1.C.89.1,1.C.89.1,0.99998987,1366,1.C.89,1.C.89
WP_013023010,1.C.9.1,1.C.9.1,0.99984777,1369,1.C.9,1.C.9
A5H1G9,1.C.90.1,1.C.90.3,0.6279339,1372,1.C.90,1.C.90
A0RKJ6,1.C.90.2,1.C.90.3,0.70011306,1374,1.C.90,1.C.90
A5MY21,1.C.90.3,1.C.90.3,0.782085,1378,1.C.90,1.C.90
P04080,1.C.91.1,1.C.91.1,0.99999774,1379,1.C.91,1.C.91
Q15818,1.C.92.1,1.C.92.1,0.99995804,1382,1.C.92,1.C.92
A4UVR2,1.C.93.1,1.C.93.1,0.99999833,1383,1.C.93,1.C.93
WP_084614884,1.C.95.1,1.C.95.1,0.99949384,1394,1.C.95,1.C.95
WP_006059095,1.C.95.1,1.C.95.1,0.99901557,1395,1.C.95,1.C.95
WP_018802519,1.C.95.1,1.C.95.1,0.9989845,1396,1.C.95,1.C.95
NP_849177,1.C.99.1,1.C.99.1,0.819635,1401,1.C.99,1.C.99
QCX35176,1.C.99.2,1.C.99.2,0.9940971,1404,1.C.99,1.C.99
XP_004616922,1.D.118.1,1.D.118.1,0.99983275,1407,1.D.118,1.D.118
XP_045930465,1.D.194.1,1.D.194.1,0.9998288,1411,1.D.194,1.D.194
PKK88897,1.D.24.1,1.D.24.1,0.9982942,1417,1.D.24,1.D.24
NIM52277,1.D.24.1,1.D.24.1,0.9997422,1418,1.D.24,1.D.24
KUH88733,1.D.24.2,1.D.24.2,0.99997616,1419,1.D.24,1.D.24
TKY80222,1.E.1.1,1.E.1.1,0.999884,1427,1.E.1,1.E.1
ECY3018204,1.E.1.1,1.E.1.1,0.99976486,1428,1.E.1,1.E.1
Q37895,1.E.10.1,1.E.10.1,0.89406407,1432,1.E.10,1.E.10
B1YMD9,1.E.14.1,1.E.14.1,0.99836236,1446,1.E.14,1.E.14
I6T8M5,1.E.14.1,1.E.14.1,0.9973815,1447,1.E.14,1.E.14
P39591,1.E.14.1,1.E.14.1,0.9979534,1448,1.E.14,1.E.14
P94515,1.E.14.1,1.E.14.1,0.9964737,1449,1.E.14,1.E.14
D3S646,1.E.14.2,1.E.14.2,0.9981463,1452,1.E.14,1.E.14
F9LWA6,1.E.16.1,1.E.16.1,0.99222696,1456,1.E.16,1.E.16
Q44946,1.E.17.1,1.E.17.1,0.99404114,1461,1.E.17,1.E.17
B8F2U3,1.E.17.1,1.E.17.1,0.9918704,1462,1.E.17,1.E.17
WP_080684304,1.E.17.2,1.E.17.1,0.993375,1464,1.E.17,1.E.17
M9MU75,1.E.18.1,1.E.18.1,0.9998621,1474,1.E.18,1.E.18
ERG63474,1.E.18.1,1.E.18.1,0.9995522,1475,1.E.18,1.E.18
WP_298535700,1.E.18.1,1.E.18.1,0.999861,1476,1.E.18,1.E.18
PIN93264,1.E.20.1,1.E.20.1,0.99993455,1481,1.E.20,1.E.20
EJG08371,1.E.20.1,1.E.20.1,0.999961,1482,1.E.20,1.E.20
K9A5I7,1.E.21.1,1.E.21.2,0.8225472,1486,1.E.21,1.E.21
B1S807,1.E.21.2,1.E.21.2,0.71491134,1488,1.E.21,1.E.21
U1YCE7,1.E.23.1,1.E.23.1,0.57562333,1493,1.E.23,1.E.23
WP_068445074,1.E.23.2,1.E.23.2,0.86596644,1495,1.E.23,1.E.23
A7A6X9,1.E.24.1,1.E.24.1,0.6379938,1500,1.E.24,1.E.24
E7MNX8,1.E.24.2,1.E.24.1,0.66593164,1501,1.E.24,1.E.24
G1WGA3,1.E.24.3,1.E.24.3,0.999997,1502,1.E.24,1.E.24
C1D824,1.E.25.1,1.E.25.2,0.7614229,1507,1.E.25,1.E.25
WP_083008638,1.E.25.1,1.E.25.2,0.6445389,1508,1.E.25,1.E.25
RYC38893,1.E.25.2,1.E.25.2,0.7076923,1514,1.E.25,1.E.25
ALA46464,1.E.25.2,1.E.25.2,0.7268952,1515,1.E.25,1.E.25
C3GBU6,1.E.27.1,1.E.27.1,0.99983335,1522,1.E.27,1.E.27
CRG98304,1.E.27.1,1.E.27.1,0.9994772,1523,1.E.27,1.E.27
RYS64810,1.E.29.1,1.E.29.1,0.54035556,1528,1.E.29,1.E.29
F9DMS4,1.E.29.2,1.E.29.1,0.6617515,1534,1.E.29,1.E.29
QOQ37200,1.E.29.2,1.E.29.2,0.78592646,1535,1.E.29,1.E.29
WP_116059751,1.E.29.3,1.E.29.3,0.9999105,1538,1.E.29,1.E.29
D5CT34,1.E.33.1,1.E.33.1,0.9914619,1544,1.E.33,1.E.33
G4FVE2,1.E.33.1,1.E.33.1,0.99991775,1545,1.E.33,1.E.33
R4JJW4,1.E.4.1,1.E.4.1,0.9999602,1549,1.E.4,1.E.4
ESK64892,1.E.42.1,1.E.42.1,0.99969494,1555,1.E.42,1.E.42
QDX55601,1.E.42.1,1.E.42.1,0.99993896,1556,1.E.42,1.E.42
WP_081276159,1.E.44.1,1.E.44.1,0.99998987,1559,1.E.44,1.E.44
W7Wfe7,1.E.50.1,1.E.50.1,0.99999034,1562,1.E.50,1.E.50
D4L5L5,1.E.52.1,1.E.52.1,0.99874985,1564,1.E.52,1.E.52
C4FBP7,1.E.52.2,1.E.52.2,0.9999993,1565,1.E.52,1.E.52
B8JFG0,1.E.52.3,1.E.52.1,0.62352854,1568,1.E.52,1.E.52
K4WL31,1.E.53.1,1.E.53.1,0.9224931,1577,1.E.53,1.E.53
E7J6N6,1.E.53.1,1.E.53.1,0.9993175,1578,1.E.53,1.E.53
P13970,1.E.53.1,1.E.53.1,0.99751866,1579,1.E.53,1.E.53
E9U5S4,1.E.53.2,1.E.53.2,0.9982509,1580,1.E.53,1.E.53
M4K1R4,1.E.56.1,1.E.56.1,0.9997931,1590,1.E.56,1.E.56
B0VUM9,1.E.56.1,1.E.56.1,0.9995648,1591,1.E.56,1.E.56
K4PA82,1.E.56.1,1.E.56.1,0.999172,1592,1.E.56,1.E.56
Q859D9,1.E.6.1,1.E.6.1,0.67807275,1595,1.E.6,1.E.6
KOQ79687,1.E.6.2,1.E.6.2,0.5971409,1603,1.E.6,1.E.6
YP_009798665,1.E.6.2,1.E.6.1,0.69344413,1604,1.E.6,1.E.6
C1D8E7,1.E.6.3,1.E.6.2,0.62746906,1609,1.E.6,1.E.6
WLJ89320,1.E.6.3,1.E.6.2,0.5119885,1610,1.E.6,1.E.6
WP_080520514,1.E.61.1,1.E.61.1,0.9999658,1612,1.E.61,1.E.61
WP_006300053,1.E.62.1,1.E.62.1,0.9991278,1619,1.E.62,1.E.62
WP_072024012,1.E.62.1,1.E.62.1,0.9996939,1620,1.E.62,1.E.62
WP_033100758,1.E.65.1,1.E.65.1,0.9999242,1626,1.E.65,1.E.65
WP_221178964,1.E.65.1,1.E.65.1,0.9999602,1627,1.E.65,1.E.65
WP_077419983,1.E.7.1,1.E.7.1,0.6876198,1631,1.E.7,1.E.7
WP_097540830,1.E.7.2,1.E.7.1,0.79719,1637,1.E.7,1.E.7
WP_055414402,1.E.7.2,1.E.7.1,0.9345841,1638,1.E.7,1.E.7
MDI6753459,1.E.71.1,1.E.71.1,0.9997459,1643,1.E.71,1.E.71
K7NTM2,1.E.8.1,1.E.8.1,0.9998945,1648,1.E.8,1.E.8
AZU98589,1.E.8.1,1.E.8.1,0.99988925,1649,1.E.8,1.E.8
C1A5F4,1.E.9.1,1.E.9.1,0.9999448,1659,1.E.9,1.E.9
Q8KCM5,1.E.9.1,1.E.9.1,0.99991,1660,1.E.9,1.E.9
B3QMN8,1.E.9.1,1.E.9.1,0.9999051,1661,1.E.9,1.E.9
AMQ26458,1.G.1.1,1.G.1.1,0.99989843,1667,1.G.1,1.G.1
AFV53227,1.G.1.1,1.G.1.1,0.99989843,1668,1.G.1,1.G.1
P03397,1.G.12.1,1.G.12.1,0.99991786,1669,1.G.12,1.G.12
Q1PDC7,1.G.12.2,1.G.12.2,0.9997763,1673,1.G.12,1.G.12
AVM87398,1.G.14.1,1.G.14.1,0.999864,1676,1.G.14,1.G.14
P28977,1.G.15.1,1.G.15.1,0.9999722,1680,1.G.15,1.G.15
P04578,1.G.16.1,1.G.16.1,0.9999876,1683,1.G.16,1.G.16
YP_009724390,1.G.18.1,1.G.18.1,0.99980575,1689,1.G.18,1.G.18
YP_007188579,1.G.18.1,1.G.18.1,0.9998368,1690,1.G.18,1.G.18
O92765,1.G.2.1,1.G.2.1,0.9991773,1698,1.G.2,1.G.2
Q9IH63,1.G.2.1,1.G.2.1,0.99957293,1699,1.G.2,1.G.2
WP_150375648,1.G.2.2,1.G.2.2,0.9999436,1700,1.G.2,1.G.2
P09612,1.G.20.1,1.G.20.1,0.9517424,1704,1.G.20,1.G.20
B8PWH4,1.G.20.2,1.G.20.1,0.58698267,1707,1.G.20,1.G.20
O36400,1.G.21.1,1.G.21.1,0.9998865,1710,1.G.21,1.G.21
AFJ15605,1.G.4.1,1.G.4.1,0.99994445,1715,1.G.4,1.G.4
G0LWX4,1.G.4.1,1.G.4.1,0.8842399,1716,1.G.4,1.G.4
U5YDR4,1.G.5.1,1.G.5.1,0.9999788,1720,1.G.5,1.G.5
A7XED7,1.G.6.1,1.G.6.1,0.9999988,1721,1.G.6,1.G.6
YP_002929490,1.G.8.1,1.G.8.1,0.99985576,1726,1.G.8,1.G.8
NP_775596,1.G.9.1,1.G.9.2,0.7450234,1729,1.G.9,1.G.9
Q7ZFT7,1.G.9.2,1.G.9.2,0.93602234,1734,1.G.9,1.G.9
M4HM10,1.G.9.2,1.G.9.2,0.9341254,1735,1.G.9,1.G.9
YP_010771824,1.J.1.1,1.J.1.1,0.9998198,1740,1.J.1,1.J.1
Q2LM93,1.K.3.1,1.K.3.1,0.9998578,1743,1.K.3,1.K.3
U3IYW3,1.L.1.1,1.L.1.1,0.99975365,1746,1.L.1,1.L.1
WP_250671306,1.M.7.1,1.M.7.1,0.999907,1751,1.M.7,1.M.7
WP_200664041,1.M.7.1,1.M.7.1,0.9998977,1752,1.M.7,1.M.7
A4GRC6,1.N.3.1,1.N.3.1,0.99884546,1758,1.N.3,1.N.3
Q4YCF6,1.N.3.1,1.N.3.1,0.998844,1759,1.N.3,1.N.3
E5S3P2,1.N.4.1,1.N.4.1,0.9998186,1764,1.N.4,1.N.4
Q99287,1.N.5.1,1.N.5.1,0.99019617,1770,1.N.5,1.N.5
Q6DD88,1.N.5.1,1.N.5.1,0.9996805,1771,1.N.5,1.N.5
O00291,1.N.7.1,1.N.7.1,0.9999999,1772,1.N.7,1.N.7
A1Z713,1.R.2.1,1.R.2.1,0.9997625,1777,1.R.2,1.R.2
Q96RL7,1.R.2.1,1.R.2.1,0.9998004,1778,1.R.2,1.R.2
WP_094276346,1.S.1.1,1.S.1.1,0.9992275,1788,1.S.1,1.S.1
6NER_A,1.S.1.1,1.S.1.1,0.9782784,1789,1.S.1,1.S.1
MBT6724251,1.S.1.1,1.S.1.1,0.9999727,1790,1.S.1,1.S.1
Q8U2E0,1.S.11.1,1.S.11.1,0.9999598,1793,1.S.11,1.S.11
3IO0_A,1.S.2.1,1.S.2.1,0.99968386,1796,1.S.2,1.S.2
WP_063040943,1.S.2.2,1.S.2.2,0.9999962,1797,1.S.2,1.S.2
AAD39019,1.S.2.3,1.S.2.3,0.99999917,1798,1.S.2,1.S.2
GCA95139,1.S.3.1,1.S.3.1,0.9999807,1801,1.S.3,1.S.3
4OLP_A,1.S.4.1,1.S.4.1,0.9999958,1802,1.S.4,1.S.4
P41792,1.S.5.1,1.S.5.1,0.9993387,1804,1.S.5,1.S.5
D0LZ73,1.S.7.1,1.S.7.1,0.9999248,1808,1.S.7,1.S.7
V5SGX5,1.S.8.1,1.S.8.1,0.9998636,1811,1.S.8,1.S.8
WP_039622912,1.W.1.1,1.W.1.1,0.99942976,1819,1.W.1,1.W.1
WP_073187488,1.W.1.1,1.W.1.1,0.9992693,1820,1.W.1,1.W.1
WP_115732651,1.W.10.1,1.W.10.1,0.86310357,1825,1.W.10,1.W.10
PNX53637,1.W.10.2,1.W.10.3,0.86413574,1827,1.W.10,1.W.10
AXP07702,1.W.10.3,1.W.10.3,0.99996614,1831,1.W.10,1.W.10
KQC09679,1.W.3.1,1.W.3.2,0.8929401,1839,1.W.3,1.W.3
WP_037616440,1.W.3.1,1.W.3.1,0.91938996,1840,1.W.3,1.W.3
RLG54911,1.W.3.2,1.W.3.2,0.8105154,1845,1.W.3,1.W.3
WP_155320278,1.W.3.2,1.W.3.1,0.96330893,1846,1.W.3,1.W.3
WP_140461085,1.W.4.1,1.W.4.1,0.999428,1851,1.W.4,1.W.4
Q76RH0,1.W.4.1,1.W.4.1,0.99952865,1852,1.W.4,1.W.4
MAG24778,1.W.5.1,1.W.5.1,0.9994603,1860,1.W.5,1.W.5
WP_077072253,1.W.5.1,8.B.28.2,0.16324335,1861,1.W.5,8.B.28
RLG01344,1.W.8.1,1.W.8.1,0.99997556,1869,1.W.8,1.W.8
TXH14527,1.W.8.1,1.W.8.1,0.999874,1870,1.W.8,1.W.8
A7XXR3,1.W.9.1,1.W.9.1,0.72434163,1883,1.W.9,1.W.9
WP_053235977,1.W.9.1,1.W.9.1,0.755043,1884,1.W.9,1.W.9
WP_025803616,1.W.9.1,1.W.9.1,0.6507416,1885,1.W.9,1.W.9
RXG66789,1.W.9.1,1.W.9.1,0.5050726,1886,1.W.9,1.W.9
HBY62778,1.W.9.2,1.W.9.2,0.9171568,1888,1.W.9,1.W.9
AXH46464,1.W.9.3,1.W.9.3,0.541504,1889,1.W.9,1.W.9
HAM56808,1.W.9.4,1.W.9.4,0.9999784,1890,1.W.9,1.W.9
F5X5Y2,2.A.10.1,2.A.10.1,0.9969625,1895,2.A.10,2.A.10
S4H275,2.A.10.1,2.A.10.1,0.99995947,1896,2.A.10,2.A.10
RQM11249,2.A.100.1,2.A.100.1,0.97163105,1902,2.A.100,2.A.100
Q9I9R3,2.A.100.1,2.A.100.2,0.5249162,1903,2.A.100,2.A.100
XP_012758493,2.A.100.2,2.A.100.1,0.9803699,1905,2.A.100,2.A.100
C6B3K0,2.A.101.1,2.A.101.1,0.9999435,1907,2.A.101,2.A.101
WP_076734059,2.A.103.1,8.B.28.2,0.16237256,1917,2.A.103,8.B.28
WP_082139284,2.A.103.1,2.A.103.1,0.99970835,1918,2.A.103,2.A.103
WP_071389592,2.A.103.1,2.A.103.1,0.99986196,1919,2.A.103,2.A.103
G4R961,2.A.104.1,2.A.104.1,0.99340266,1921,2.A.104,2.A.104
H5SVY7,2.A.104.2,2.A.104.2,0.99586016,1922,2.A.104,2.A.104
KKP64473,2.A.104.3,2.A.104.1,0.6070637,1924,2.A.104,2.A.104
WP_089030044,2.A.107.1,2.A.107.1,0.94254297,1929,2.A.107,2.A.107
E4RIT5,2.A.107.2,2.A.107.2,0.99986696,1930,2.A.107,2.A.107
L8Q2C2,2.A.107.3,2.A.107.3,0.93109375,1931,2.A.107,2.A.107
I1HMH4,2.A.109.1,2.A.109.1,0.6383524,1937,2.A.109,2.A.109
P42601,2.A.109.1,2.A.109.1,0.6093705,1938,2.A.109,2.A.109
L5DDD7,2.A.109.2,2.A.109.1,0.6534771,1941,2.A.109,2.A.109
L7KNF9,2.A.109.3,2.A.109.3,0.9999609,1943,2.A.109,2.A.109
O05407,2.A.11.1,2.A.11.1,0.7405777,1948,2.A.11,2.A.11
A4QA05,2.A.11.1,2.A.11.2,0.6313184,1949,2.A.11,2.A.11
D7AXM6,2.A.11.2,2.A.11.1,0.7390182,1952,2.A.11,2.A.11
Q4QSA9,2.A.111.1,2.A.111.1,0.99991715,1955,2.A.111,2.A.111
Q821X2,2.A.111.2,2.A.111.1,0.99980575,1957,2.A.111,2.A.111
K2REU1,2.A.116.1,2.A.116.1,0.57922333,1963,2.A.116,2.A.116
K6W6C5,2.A.116.1,2.A.116.1,0.7706029,1964,2.A.116,2.A.116
Q7TUV9,2.A.116.2,2.A.116.1,0.6923298,1966,2.A.116,2.A.116
B8I848,2.A.116.3,2.A.116.3,0.7994012,1970,2.A.116,2.A.116
A3QJL3,2.A.117.1,2.A.117.1,0.6312146,1981,2.A.117,2.A.117
A0B354,2.A.117.1,2.A.117.1,0.5006324,1982,2.A.117,2.A.117
Q87QJ4,2.A.117.1,2.A.117.2,0.5153093,1983,2.A.117,2.A.117
MBK8180943,2.A.117.2,2.A.117.2,0.5405682,1986,2.A.117,2.A.117
WP_203595623,2.A.117.3,2.A.117.3,0.9999851,1987,2.A.117,2.A.117
Q38YQ0,2.A.118.1,2.A.118.1,0.99953675,1994,2.A.118,2.A.118
P39263,2.A.118.1,2.A.118.1,0.99935585,1995,2.A.118,2.A.118
WP_069955515,2.A.119.1,2.A.119.1,0.98931646,2000,2.A.119,2.A.119
Q8EJL9,2.A.119.1,2.A.119.3,0.45107478,2001,2.A.119,2.A.119
WP_048118532,2.A.119.2,2.A.119.3,0.5166525,2006,2.A.119,2.A.119
WP_092498738,2.A.119.3,2.A.119.2,0.5133254,2013,2.A.119,2.A.119
OIO63212,2.A.119.3,2.A.119.2,0.50779915,2014,2.A.119,2.A.119
J6H8T7,2.A.120.1,2.A.120.1,0.99887615,2026,2.A.120,2.A.120
A8MA30,2.A.120.1,2.A.120.1,0.9987771,2027,2.A.120,2.A.120
ARG45194,2.A.120.1,2.A.120.1,0.99848926,2028,2.A.120,2.A.120
P42102,2.A.122.1,2.A.122.1,0.99712104,2035,2.A.122,2.A.122
WP_159220376,2.A.122.1,2.A.122.1,0.99690837,2036,2.A.122,2.A.122
B8CB30,2.A.122.2,2.A.122.2,0.9914743,2041,2.A.122,2.A.122
B5YN56,2.A.122.2,8.B.28.2,0.15862568,2042,2.A.122,8.B.28
KKP01475,2.A.122.3,2.A.122.3,0.9996307,2043,2.A.122,2.A.122
C3MTK1,2.A.124.1,2.A.124.1,0.9991697,2050,2.A.124,2.A.124
X2JQJ2,2.A.124.1,2.A.124.1,0.99922764,2051,2.A.124,2.A.124
D2VY17,2.A.125.1,2.A.125.1,0.99991167,2056,2.A.125,2.A.125
OQJ72346,2.A.129.1,2.A.129.1,0.7943237,2065,2.A.129,2.A.129
WP_074970406,2.A.129.1,2.A.129.1,0.8419074,2066,2.A.129,2.A.129
WP_027108241,2.A.129.1,2.A.129.2,0.8387733,2067,2.A.129,2.A.129
WP_086951747,2.A.129.2,2.A.129.1,0.6792763,2071,2.A.129,2.A.129
Q0PC49,2.A.13.1,2.A.13.1,0.9994916,2076,2.A.13,2.A.13
Q0PAK3,2.A.13.1,8.B.28.2,0.15700914,2077,2.A.13,8.B.28
K0P0B6,2.A.13.2,2.A.13.2,0.99990964,2078,2.A.13,2.A.13
RKY32654,2.A.131.1,2.A.131.1,0.9996736,2084,2.A.131,2.A.131
RZN41577,2.A.131.1,2.A.131.1,0.9998585,2085,2.A.131,2.A.131
P42401,2.A.133.1,2.A.133.2,0.5233175,2096,2.A.133,2.A.133
B4AEM5,2.A.133.1,2.A.133.1,0.50132996,2097,2.A.133,2.A.133
K2JND9,2.A.133.1,2.A.133.2,0.99602723,2098,2.A.133,2.A.133
WP_022597737,2.A.133.2,2.A.133.1,0.5085242,2102,2.A.133,2.A.133
Q8TUV1,2.A.14.1,2.A.14.1,0.9999758,2106,2.A.14,2.A.14
AOY58527,2.A.14.2,2.A.14.1,0.99900395,2108,2.A.14,2.A.14
Q6IUV3,2.A.15.1,2.A.15.1,0.99709094,2120,2.A.15,2.A.15
AIU86122,2.A.15.1,2.A.15.1,0.99741083,2121,2.A.15,2.A.15
AJH13638,2.A.15.1,2.A.15.1,0.9984067,2122,2.A.15,2.A.15
B7L6S9,2.A.15.2,2.A.15.1,0.9974335,2125,2.A.15,2.A.15
P44741,2.A.16.1,2.A.16.4,0.7259094,2127,2.A.16,2.A.16
I7ZSL4,2.A.16.2,2.A.16.2,0.9999534,2130,2.A.16,2.A.16
T2I8Z9,2.A.16.3,2.A.16.4,0.706101,2133,2.A.16,2.A.16
Q4J820,2.A.16.4,8.B.28.2,0.16407235,2138,2.A.16,8.B.28
Q9KY69,2.A.16.4,8.B.28.2,0.15926017,2139,2.A.16,8.B.28
